task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_0,Camera_Sensor,1,0.0,0.0,1
Task_1,Camera_Sensor,1,0.0,0.0,1
Task_2,Camera_Sensor,1,0.0,0.0,1
Task_3,Camera_Sensor,1,0.0,0.0,1
Task_4,Camera_Sensor,1,0.0,0.0,1
Task_5,Image_Processor,1,12.351521164021042,23.275132275132275,1
Task_6,Image_Processor,1,33.78677248677234,49.264550264550266,1
Task_7,Image_Processor,1,45.080687830687715,75.27513227513228,1
Task_8,Bitmap_Processor,1,0.0,0.0,1
Task_9,Bitmap_Processor,1,0.0,0.0,1
Task_10,Bitmap_Processor,1,1334.7519841269832,2461.126984126984,1
Task_11,Bitmap_Processor,1,0.0,0.0,1
Task_12,Lidar_Sensor,1,57.83134920634939,78.09523809523809,1
Task_13,Lidar_Sensor,1,38.25297619047615,43.19047619047618,1
Task_14,Lidar_Sensor,1,138.779761904762,178.23809523809524,1
Task_15,Lidar_Sensor,1,881.8154761904761,886.1904761904763,1
Task_16,Control_Unit,1,5386.190476190476,5386.190476190476,1
Task_17,Control_Unit,1,3106.0,4419.0,1
Task_18,Control_Unit,1,0.0,0.0,1
Task_19,Control_Unit,1,4888.976190476191,6194.476190476191,1
Task_20,Control_Unit,1,0.0,0.0,1
Task_21,Control_Unit,1,3964.1309523809523,7035.380952380952,1
Task_22,GPS_Sensor,1,2977.674042174042,5560.031185031185,1
Task_23,GPS_Sensor,1,0.0,0.0,1
Task_24,Communication_Unit,1,12.606137387387461,22.054054054054056,1
Task_25,Communication_Unit,1,39.38025525525528,53.31081081081081,1
Task_26,Communication_Unit,1,200.6824324324325,252.43243243243245,1
Task_27,Communication_Unit,1,8.074887387387461,13.054054054054054,1
